ZIP Code,Type,State FIPS,Preferred name,Alternate names,Population (2019),Housing units (2019),Median family income (2019),MFI percentile (2019),Latitude,Longitude,Land area,Water area
00501,unique,36,"Holtsville, NY",IRS Service Center,,,,,,,,
00544,unique,36,"Holtsville, NY",IRS Service Center,,,,,,,,
00601,standard,72,"Adjuntas, PR","Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin","17,113","7,250","$16,001",0,18.181,-66.75,64.348,0.309
00602,standard,72,"Aguada, PR","Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica","37,751","17,538","$19,801",0,18.362,-67.176003,30.613,1.718
00603,standard,72,"Aguadilla, PR","Ramey, Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Country Club, Urb Maleza Gdns, Urb Marbella, Urb Ramey, Urb Rubianes, Urb San Carlos, Urb Santa Marta, Urb Victoria, Villa Alegria, Villa Linda, Villa Lydia, Villa Universitaria, Villas De Almeria, Vista Alegre, Vista Verde","47,081","24,322","$18,973",0,18.455,-67.120003,31.616,0.071
00604,PO box,72,"Aguadilla, PR",Ramey,,,,,,,,
00605,PO box,72,"Aguadilla, PR",,,,,,,,,
00606,standard,72,"Maricao, PR",Urb San Juan Bautista,"6,392","2,783","$15,298",0,18.158001,-66.932999,42.309,0.005
00610,standard,72,"Anasco, PR","Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio","26,686","12,455","$23,612",0,18.295,-67.125,35.916,1.611
00611,PO box,72,"Angeles, PR",,,,,,,,,
